area_sqft,bedrooms,age_years,distance_km,price_lakhs
923,5,9,18.6,94.73
2635,2,21,1.5,242.12
2337,5,0,11.5,220.74
1797,2,23,13.0,134.39
1782,3,14,3.0,188.25
2847,4,3,3.7,270.96
914,1,7,9.0,69.07
2444,3,14,19.4,199.65
1203,3,8,12.3,121.55
935,4,2,18.7,91.65
2016,5,17,16.3,193.92
3140,4,17,9.9,287.81
2540,3,3,15.9,234.43
2603,3,7,1.3,258.01
2494,3,6,3.1,267.94
2665,5,17,16.8,229.77
1983,2,18,16.1,127.83
1020,1,18,5.4,101.03
2800,2,24,11.1,217.93
1826,1,19,12.5,137.65
1951,1,8,17.5,166.35
1627,1,2,12.5,119.77
1156,4,15,8.8,98.15
3017,4,23,8.1,244.2
2654,4,25,9.1,218.93
2310,3,5,13.4,212.26
1706,4,6,17.5,160.9
2757,1,0,9.6,245.88
2064,5,3,5.7,200.28
1808,3,14,5.5,140.46
1826,5,14,15.2,167.9
1268,1,9,16.5,87.57
930,3,8,3.0,110.46
2087,4,21,2.3,205.53
2920,3,11,12.3,255.57
859,3,21,3.8,91.65
2846,1,25,16.7,211.35
2769,2,8,6.9,253.11
1392,2,5,3.7,130.45
2279,2,24,18.5,163.66
1113,4,16,4.1,119.19
2595,4,7,6.4,258.85
2452,4,16,3.9,226.28
1586,2,13,3.2,153.35
869,5,23,1.4,97.2
3127,1,6,2.1,279.2
1814,2,25,4.3,160.65
2933,1,24,2.0,219.69
2395,2,4,12.2,194.46
2646,5,4,13.9,233.0
2600,2,13,8.5,195.75
1186,5,1,7.0,134.42
1610,3,7,10.6,159.21
1867,4,11,17.6,158.95
1944,3,25,17.2,148.4
809,2,25,1.8,82.85
2066,4,3,4.4,228.17
1085,5,23,5.5,110.55
2559,2,2,5.7,254.2
2408,4,19,11.9,210.52
3007,2,21,8.9,238.38
2562,4,23,1.9,228.77
1616,4,5,8.1,147.26
3119,3,23,11.0,248.71
1727,4,3,2.9,181.83
1514,2,13,16.8,126.14
2964,1,12,2.0,280.69
1626,1,8,18.6,104.44
890,3,0,2.9,115.64
1874,5,20,17.0,148.7
2689,1,8,18.2,217.8
1173,3,17,19.6,83.8
1857,4,10,16.2,143.21
1024,2,9,15.8,92.39
2416,4,23,13.2,195.89
1889,2,2,15.8,156.42
1525,5,19,3.6,143.96
1267,3,19,11.2,98.33
2111,3,9,10.8,195.28
2375,1,6,17.3,187.06
3051,3,0,9.8,286.14
1793,5,24,8.3,169.71
1101,1,24,13.2,83.57
2782,4,6,6.1,262.48
2275,3,0,3.7,209.49
2451,4,3,10.1,247.51
943,4,1,8.9,107.01
1481,3,21,5.4,145.89
2620,2,23,8.0,219.45
2781,4,3,8.0,264.96
1788,1,19,7.2,146.86
2712,3,4,8.2,275.07
2805,1,9,14.0,253.3
1669,4,15,6.6,161.57
2946,4,18,19.0,245.43
1421,1,22,18.4,100.78
1299,4,1,10.1,128.94
2406,3,5,7.2,230.3
2292,4,7,11.2,214.3
1049,1,8,17.1,78.45
2782,1,25,13.4,199.1
1199,3,20,16.3,71.0
2713,1,8,11.1,202.05
718,2,25,13.0,28.47
2692,4,12,6.5,245.82
2668,1,13,15.0,206.81
2651,4,11,4.8,275.29
2362,1,3,14.2,210.53
1879,1,24,17.4,114.75
2463,3,0,3.5,247.73
1393,4,4,12.7,134.06
2652,1,5,2.8,236.72
2089,2,7,14.8,178.1
1847,5,3,2.6,211.8
1964,5,0,18.8,184.53
2122,3,17,3.6,207.61
793,3,25,19.2,30.89
1049,2,3,16.2,89.63
1313,4,7,12.3,160.59
986,3,13,15.9,83.42
1799,2,24,16.1,146.53
2371,1,18,19.0,173.23
2336,1,19,5.8,198.74
1878,5,15,12.2,175.24
2838,3,10,2.8,263.15
2113,3,5,12.7,182.14
898,3,22,4.3,88.95
2613,4,20,11.7,215.83
2137,1,0,11.9,193.71
2287,1,18,9.9,194.4
2113,2,2,10.9,195.08
2084,3,19,15.5,164.46
926,4,21,16.2,78.85
2098,3,3,10.4,192.96
2688,3,11,12.4,245.24
1460,5,3,18.7,120.51
2207,1,14,3.3,187.03
777,3,24,3.2,49.3
1569,3,2,2.7,148.76
1792,3,10,13.5,173.39
3157,5,25,9.0,289.64
1236,2,7,15.7,93.12
1391,5,3,13.8,127.41
1721,2,12,7.3,116.77
3182,3,13,18.1,256.92
2834,3,17,15.5,262.98
786,5,8,6.1,107.35
1285,3,24,7.9,101.19
2755,2,13,7.0,245.21
845,1,7,4.0,63.34
